PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Gender___female,Gender___male,Gender___other,City___adana,City___ankara,City___antalya,City___bursa,City___eskisehir,City___gaziantep,City___istanbul,City___izmir,City___kayseri,City___konya,Product_Category___beauty,Product_Category___books,Product_Category___electronics,Product_Category___fashion,Product_Category___food,Product_Category___home & garden,Product_Category___sports,Product_Category___toys,Payment_Method___bank transfer,Payment_Method___cash on delivery,Payment_Method___credit card,Payment_Method___debit card,Payment_Method___digital wallet,Device_Type___desktop,Device_Type___mobile,Device_Type___tablet,Is_Returning_Customer___False,Is_Returning_Customer___True,yhat
-0.6928768961598815,1.0327774607358438,-0.8110715209222226,0.1762990648226456,-0.4448209824070659,0.3525304105161936,1.4144665767206432,0.3148147187043786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-441.5840061574495
1.054197522319169,-0.4832131100640659,-1.2703691810995936,-0.4443241123722134,-0.792459607366074,0.956464681493436,-0.6957896700017621,0.7376080773768906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,980.9952064052942
-0.2629911531948462,-0.1228209395792135,-0.112806586907562,-0.4850227536245055,1.2081428153744205,0.1735193332981126,0.9993195440118632,-0.0996568622576267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1051.2529114467177
0.1051053129343423,-0.3313743899140872,1.2999687351647031,-0.7460337451178071,1.375706597504181,0.5878682669992265,-0.2177128138398823,0.7188964709920821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,745.844064382131
-0.4379610876849173,-0.307147228376883,-0.2674452708873074,-0.0517261576806896,0.1602024962635377,-0.7292643266221236,-0.0967274393801234,0.0524976615817231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,344.13000305356115
-0.5010301765579397,-0.8405968012177636,-0.8786886516630836,-0.8211118758965907,-0.5335886617921471,1.0550326013271178,-0.2582435791682935,0.0263054454704309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,171.7414140692057
0.0411203233803734,-0.9102764374166844,0.3385313111772223,0.2012323092284514,1.0001848821875008,-0.769623809111235,0.95028242248244,-0.3071915718712859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1415.6662015277834
0.4435497999777907,-1.0545724865030486,1.8599143217363097,0.4048618182500145,1.6596187661899342,1.53154449995322,1.0520121763004604,0.9566421493200868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,880.1473300974947
-0.0035811221018468,-0.2282432179199115,0.6293771351239701,0.295827153126866,0.2129266963061518,-0.9872172106411156,0.1184274495665388,-0.2967114421687937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1048.7048999982385
-0.6270410463930314,-0.0759136550986794,-0.1752913165825479,-1.7672978272992077,0.5551129377428846,1.2216722035258174,-0.352296426697961,0.1255662877944639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,351.3339917362993
