PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Gender___female,Gender___male,Gender___other,City___adana,City___ankara,City___antalya,City___bursa,City___eskisehir,City___gaziantep,City___istanbul,City___izmir,City___kayseri,City___konya,Product_Category___beauty,Product_Category___books,Product_Category___electronics,Product_Category___fashion,Product_Category___food,Product_Category___home & garden,Product_Category___sports,Product_Category___toys,Payment_Method___bank transfer,Payment_Method___cash on delivery,Payment_Method___credit card,Payment_Method___debit card,Payment_Method___digital wallet,Device_Type___desktop,Device_Type___mobile,Device_Type___tablet,Is_Returning_Customer___False,Is_Returning_Customer___True,objetivo
0.47194766226738794,-0.5791486680329849,1.5216288074305981,-0.18643184161744866,-0.06297830643949118,-0.6932301528884316,0.025374350172837866,0.43577268810179953,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1041.34
2.5098477191465256,1.3485870368953747,3.889876604311166,-1.2843845685627813,0.5961330040004864,2.5531777010746013,-1.5091681881975083,1.3481339684687097,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1712.13
-0.1975813373374613,-0.27941085131033655,1.457257957252738,-0.376840484251876,0.5532715139982548,-0.4511229621297622,0.4792811078790699,0.2872242893734713,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,466.69
-0.5231153093745415,-0.7367394711359211,-0.5677196378377681,0.36483516249670733,0.23055710351659744,-1.1795988326053934,-0.6854275013569527,0.19654499952302218,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,157.77
7.544554984971289,-0.08017359441090685,-0.0358842745057547,0.019877322739290965,-0.40177121819227646,2.308790139490586,-0.35897310206468963,1.9771039990272579,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2613.26
-0.3680753752230454,-0.583828814444655,0.32217818659022773,-0.6466512264925133,0.3389744600403179,-0.3806331869556771,0.39897300039082295,0.040334475466763726,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,602.76
-0.6014590141389718,0.3417346564649621,0.9986306468348425,-0.1410358624785441,-0.4810181059717492,-0.2709296392185344,-1.245893237447348,0.19694540498260335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,42.67
-0.6833865306990402,1.1042502210087437,-1.1113101800402818,1.4910938259818338,0.09961388560972348,-0.19770066483381657,1.4592139924775835,0.312255490287403,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,43.56
-0.317916406220652,-0.32359972789666225,0.7489518489363824,0.9741208797184288,0.1703908987994496,-0.2846594621878821,-0.07631528739325814,0.002194643685299861,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,507.24
-0.48008508722064347,-0.05845826916912614,0.1261001617144824,0.6366812762820578,-0.29055969252331165,0.23489585744692387,-0.3971190453628963,0.08066702361420729,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,114.52
-0.5678273813081938,-0.602693549158212,0.15335748365127788,-0.8050906772430166,0.04291949822920303,0.9049571411484819,0.18541282348467641,0.17665981470426706,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,168.42
-0.6195763981181309,0.7320207047505988,-0.364582231056162,-0.5240700324741174,-1.0649835660588391,-0.515861764479406,1.021123064208651,0.2839939626948969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,36.42
-0.6002277050104311,0.28727165409949884,-0.33267278798002,1.181361750869167,1.6293604944761582,-0.35850436099158606,0.3780563851840847,0.19952155356218776,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,213.36
-0.5516275663282946,-0.4342593929637169,0.7149372370479826,-0.6941950870770836,0.5655576504883086,-0.7011016359931046,-0.8506216266639806,0.16326734379499203,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,89.72
-0.3985028021464009,-0.012774064688552878,-0.7432147297478675,0.9940243422335213,-0.2211198532440983,-0.008867004060799898,-0.03660378487500274,0.33099439320212537,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,103.67
-0.4132295173401437,0.4688076051936196,0.4753422824274335,0.24541322435299914,-0.8114310966180428,-0.5141285750959611,1.1202798527686368,0.15445183383242497,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,169.55
-0.14235420348910557,-0.2146300594556622,0.5263500656554698,0.8141716294521609,-0.6383451410399771,-1.0456796161861117,-0.2760192982003486,0.06524509485183731,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,49.14
-0.5294278232843991,-2.450096459207947,-1.3671586857580333,0.591022882947026,-0.2444296485633209,1.441206114011199,-0.5766130559211713,0.05259778221947325,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,285.7
-0.501932895111503,1.400122650372082,1.7673268428282471,-1.6218703568031274,0.2839118171430016,0.5211390994479975,0.10373664415149834,0.14479621110170945,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,350.28
-0.5775220791161284,-0.40249265603083084,-0.9575201510804784,1.0091896266663984,-0.36636618184430586,-1.4018954480922476,1.1742209221600024,0.28516307455967477,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,29.22
-0.4186997205657546,-0.9349602383481448,0.5594680065898402,-0.4216569426638421,1.0921940479379941,0.9368282072902826,1.2739614622840363,0.12229927971821128,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,560.75
